,id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,bathrooms,bedrooms
96,145249,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.518192193175324,13.461220877937734,Private room,70,3,1,50,1.0,1.0
97,147946,Pankow,Prenzlauer Berg Nordwest,52.54854936182288,13.408516746844336,Entire home/apt,31,183,1,324,1.0,1.0
98,149849,Mitte,Alexanderplatz,52.5298171921792,13.40259803750833,Private room,40,2,1,84,1.0,2.0
99,151249,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49677893596029,13.416794504313168,Entire home/apt,81,1,1,342,1.0,1.0
100,153015,Pankow,Helmholtzplatz,52.54714552904225,13.418253805829684,Private room,52,3,1,341,1.0,1.0
101,155048,Pankow,Prenzlauer Berg Nord,52.54250548510002,13.437193263101435,Entire home/apt,100,180,1,282,1.0,2.0
102,156010,Mitte,Alexanderplatz,52.5155351204516,13.424467420462493,Entire home/apt,36,90,1,1,1.0,1.0
103,157546,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49544917093305,13.424493405497936,Entire home/apt,88,5,1,291,1.0,2.0
104,157839,Mitte,Moabit West,52.53082537497308,13.342213964835418,Private room,29,1,1,324,1.0,1.0
105,158890,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4990345036111,13.436536845747812,Entire home/apt,100,10,1,325,1.0,1.0
106,159454,Charlottenburg-Wilm.,Wiesbadener Straße,52.4783122169229,13.311401944589958,Entire home/apt,161,2,1,222,1.0,2.0
107,160517,Reinickendorf,West 3,52.59656148881527,13.302177471255856,Entire home/apt,65,2,1,214,2.0,2.0
108,161425,Pankow,Helmholtzplatz,52.54566761341074,13.414469175064475,Entire home/apt,70,2,1,42,1.0,2.0
109,163287,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.491791579552796,13.397270625123513,Entire home/apt,29,150,2,359,1.0,1.0
110,163411,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49737973107708,13.436374924087724,Entire home/apt,80,5,1,253,1.0,2.0
111,167189,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5018854427702,13.438014425329065,Private room,49,3,1,5,1.0,1.0
112,168615,Pankow,Blankenburg/Heinersdorf/Märchenland,52.58055049897068,13.44539121943636,Entire home/apt,49,2,1,159,1.0,1.0
113,169603,Lichtenberg,Rummelsburger Bucht,52.49655707634615,13.483793612791464,Entire home/apt,59,1,2,16,1.0,1.0
114,169907,Tempelhof - Schöneberg,Friedenau,52.46981277766224,13.330368455954346,Private room,30,1,1,0,1.5,1.0
115,170582,Charlottenburg-Wilm.,Wiesbadener Straße,52.467468175206186,13.313736664841388,Private room,23,5,1,190,1.0,1.0
116,170652,Mitte,Brunnenstr. Nord,52.54529865450746,13.397289357596057,Private room,40,5,1,362,1.0,1.0
117,170974,Neukölln,Neuköllner Mitte/Zentrum,52.479388800974796,13.430209628755884,Private room,35,7,1,89,1.0,1.0
118,171746,Pankow,Helmholtzplatz,52.544105902553355,13.414099162842891,Entire home/apt,70,4,1,320,1.0,1.0
119,173153,Pankow,Prenzlauer Berg Südwest,52.53054850965057,13.407016713355516,Entire home/apt,80,2,1,0,2.0,2.0
120,174391,Mitte,Alexanderplatz,52.52885628704049,13.396841414864655,Private room,42,1,1,0,1.0,1.0
121,174547,Mitte,Alexanderplatz,52.51100177386567,13.415950719937944,Entire home/apt,96,60,4,0,1.0,2.0
122,174560,Mitte,Alexanderplatz,52.510727746574794,13.417906085619386,Entire home/apt,75,60,4,280,1.0,2.0
123,174576,Mitte,Alexanderplatz,52.50939926752596,13.416228803622197,Entire home/apt,96,60,4,364,1.0,2.0
124,174579,Mitte,Alexanderplatz,52.509054855173844,13.41556268538749,Entire home/apt,76,60,4,0,1.0,2.0
125,175667,Tempelhof - Schöneberg,Schöneberg-Süd,52.49137801093193,13.343314916960828,Entire home/apt,46,60,2,309,1.0,1.0
126,176342,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.503631482561595,13.39201042090914,Entire home/apt,296,1,3,331,2.0,3.0
127,176355,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50147591952889,13.39110689609045,Entire home/apt,244,1,3,333,2.0,2.0
128,176396,Reinickendorf,Ost 2,52.572028355937405,13.350790857027247,Private room,20,1,1,0,2.0,3.0
129,176852,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.493002682753314,13.440889696658786,Entire home/apt,50,3,1,1,1.0,1.0
130,177486,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.478938320034,13.327157621807752,Entire home/apt,59,2,1,96,1.0,1.0
131,178347,Neukölln,Reuterstraße,52.48865416928278,13.428955718077145,Entire home/apt,75,2,1,243,1.0,1.0
132,179102,Pankow,Pankow Zentrum,52.568681282401506,13.399690953780912,Entire home/apt,170,2,1,244,1.5,3.0
133,180440,Charlottenburg-Wilm.,Neue Kantstraße,52.50064756935614,13.301619399504919,Entire home/apt,39,60,1,202,1.0,1.0
134,181160,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49172695564685,13.421000419836648,Private room,39,2,2,167,1.0,1.0
135,183206,Mitte,Alexanderplatz,52.52735491907917,13.38985627131661,Entire home/apt,64,1,3,287,1.0,1.0
